"","Start.station","Rideoutminusin"
"1","100 Main Street SE",-0.179201151493343
"2","10th Street & Nicollet Mall",-0.0193141505715412
"3","10th Street E & Cedar Street",-0.0843547224224946
"4","11th Ave S & S 2nd Street",-0.0903886712865321
"5","11th Street & Hennepin",0.175808720112518
"6","11th Street & Marquette",-0.130793401413983
"7","15th Ave SE & 4th Street SE",0.0236406619385343
"8","15th Ave SE & Como Ave SE",0.0042483660130719
"9","18th Ave Trail & 2nd Street NE",-0.0872093023255814
"10","22nd Ave NE & California Street NE",-0.0135135135135135
"11","22nd Ave S & Franklin Ave",0.0313135420902806
"12","23rd Ave SE & 6th Street SE",0.105020920502092
"13","23rd Ave SE & University Ave SE",0.162857142857143
"14","25th Street & 33rd Ave S",-0.138379657007688
"15","26th Street & Hennepin",-0.00263296471827278
"16","26th Street & Lyndale",0.0754716981132075
"17","27th Ave S & Minnehaha Ave",-0.0279898218829517
"18","27th Ave SE & University Ave.",0.0261627906976744
"19","28th Street & Nicollet Ave. S",-0.0721024258760108
"20","2nd Ave N & N 6th Street",-0.350134667179685
"21","2nd Ave S & S 3rd Street",0.016871704745167
"22","2nd Street N & 8th Ave N",-0.097442143727162
"23","2nd Street SE & 5th Ave SE",0.0847524752475248
"24","36th Ave N & Irving Ave N",-0.0291970802919708
"25","38th Street Light Rail Station",-0.0605769230769231
"26","3rd Ave S & E 38th Street",-0.155325443786982
"27","3rd Street N & 8th Ave N",0.00603808639108221
"28","3rd Street NE & Lowry Ave NE",-0.155378486055777
"29","46th Street Light Rail Station",-0.0928899082568807
"30","4th Street & 13th Ave SE",0.12232905982906
"31","4th Street & 17th Ave SE",-0.0105084745762712
"32","4th Street S & 19th Ave",-0.151060358890701
"33","5th Ave N & 4th Street N",0.0718685831622177
"34","5th Street E & Minnesota Street N",-0.22360248447205
"35","5th Street NE & 1st Ave NE",0.153846153846154
"36","5th Street NE & 3rd Ave NE",0.0961800818553888
"37","6th Ave SE & University Ave",-0.100081588251292
"38","7th Place & Jackson Street",-0.0108932461873638
"39","7th Street & 4th Ave S",0.0294117647058824
"40","7th Street E & Wacouta Street",-0.156836461126005
"41","7th Street N & Plymouth Ave N",-0.0726256983240224
"42","7th Street SE & 10th Ave SE",0.00492004920049201
"43","7th Street W & Grand Ave",-0.0817120622568093
"44","9th Street & 4th Ave",0.0196382428940568
"45","9th Street N & Hawthorne Ave",0.0559559135226791
"46","Bohemian Flats",-0.231404958677686
"47","Boom Island Park",0.0445387062566278
"48","Broadway & Marshall Street NE",-0.159767141009056
"49","Broadway Street N & 4th Street E",-0.335922330097087
"50","Bryant Ave N & West Broadway",0.063953488372093
"51","Carleton Street & University Ave ",0.0310160427807487
"52","Cedar Street & Columbus Ave",0.0769230769230769
"53","Central Ave. NE & 22nd Ave NE",-0.182235834609495
"54","Chicago & 27th Street",0.0264965652600589
