"","Date","MaxTemp.F","MinTemp.F","Prec.In","Snow.In","SnowDepth.In"
"2286",2016-04-04,42,28,"0.00","0.00","0.00"
"2287",2016-04-05,37,28,"0.07","0.00","0.00"
"2288",2016-04-06,44,32,"T","0.00","0.00"
"2289",2016-04-07,43,33,"0.04","T","0.00"
"2290",2016-04-08,37,24,"0.02","0.50","0.00"
"2291",2016-04-09,43,20,"0.00","0.00","0.00"
"2292",2016-04-10,59,35,"0.00","0.00","0.00"
"2293",2016-04-11,44,31,"0.00","0.00","0.00"
"2294",2016-04-12,49,27,"T","T","0.00"
"2295",2016-04-13,71,41,"T","0.00","0.00"
"2296",2016-04-14,76,49,"0.00","0.00","0.00"
"2297",2016-04-15,77,48,"0.00","0.00","0.00"
"2298",2016-04-16,80,57,"0.00","0.00","0.00"
"2299",2016-04-17,79,58,"0.00","0.00","0.00"
"2300",2016-04-18,79,51,"0.19","0.00","0.00"
"2301",2016-04-19,59,48,"0.08","0.00","0.00"
"2302",2016-04-20,67,52,"0.25","0.00","0.00"
"2303",2016-04-21,66,50,"0.32","0.00","0.00"
"2304",2016-04-22,59,43,"0.00","0.00","0.00"
"2305",2016-04-23,71,43,"T","0.00","0.00"
"2306",2016-04-24,62,52,"0.39","0.00","0.00"
"2307",2016-04-25,55,44,"0.53","0.00","0.00"
"2308",2016-04-26,49,42,"T","0.00","0.00"
"2309",2016-04-27,53,40,"0.28","0.00","0.00"
"2310",2016-04-28,43,37,"0.65","0.00","0.00"
"2311",2016-04-29,60,34,"0.00","0.00","0.00"
"2312",2016-04-30,58,42,"0.00","0.00","0.00"
"2313",2016-05-01,63,41,"0.00","0.00","0.00"
"2314",2016-05-02,67,39,"0.00","0.00","0.00"
"2315",2016-05-03,73,48,"0.00","0.00","0.00"
"2316",2016-05-04,66,45,"0.00","0.00","0.00"
"2317",2016-05-05,79,45,"T","0.00","0.00"
"2318",2016-05-06,92,60,"0.00","0.00","0.00"
"2319",2016-05-07,70,51,"0.00","0.00","0.00"
"2320",2016-05-08,73,46,"0.00","0.00","0.00"
"2321",2016-05-09,68,53,"0.33","0.00","0.00"
"2322",2016-05-10,58,48,"0.59","0.00","0.00"
"2323",2016-05-11,56,49,"0.15","0.00","0.00"
"2324",2016-05-12,58,48,"0.00","0.00","0.00"
"2325",2016-05-13,50,39,"0.18","0.00","0.00"
"2326",2016-05-14,52,34,"0.00","0.00","0.00"
"2327",2016-05-15,65,34,"0.00","0.00","0.00"
"2328",2016-05-16,66,49,"0.00","0.00","0.00"
"2329",2016-05-17,65,46,"0.00","0.00","0.00"
"2330",2016-05-18,70,43,"0.00","0.00","0.00"
"2331",2016-05-19,74,50,"0.00","0.00","0.00"
"2332",2016-05-20,76,54,"0.00","0.00","0.00"
"2333",2016-05-21,80,53,"0.00","0.00","0.00"
"2334",2016-05-22,84,53,"0.00","0.00","0.00"
"2335",2016-05-23,84,66,"T","0.00","0.00"
"2336",2016-05-24,86,66,"T","0.00","0.00"
"2337",2016-05-25,76,66,"0.33","0.00","0.00"
"2338",2016-05-26,81,61,"0.27","0.00","0.00"
"2339",2016-05-27,70,63,"0.24","0.00","0.00"
"2340",2016-05-28,68,61,"0.31","0.00","0.00"
"2341",2016-05-29,79,62,"T","0.00","0.00"
"2342",2016-05-30,84,60,"T","0.00","0.00"
"2343",2016-05-31,73,63,"0.02","0.00","0.00"
"2344",2016-06-01,67,59,"0.00","0.00","0.00"
"2345",2016-06-02,75,56,"0.00","0.00","0.00"
"2346",2016-06-03,70,61,"0.21","0.00","0.00"
"2347",2016-06-04,74,58,"0.06","0.00","0.00"
"2348",2016-06-05,83,55,"0.00","0.00","0.00"
"2349",2016-06-06,71,56,"0.01","0.00","0.00"
"2350",2016-06-07,72,50,"0.00","0.00","0.00"
"2351",2016-06-08,79,54,"0.02","0.00","0.00"
"2352",2016-06-09,84,62,"0.54","0.00","0.00"
"2353",2016-06-10,91,69,"T","0.00","0.00"
"2354",2016-06-11,93,71,"0.00","0.00","0.00"
"2355",2016-06-12,78,61,"0.99","0.00","0.00"
"2356",2016-06-13,78,64,"0.40","0.00","0.00"
"2357",2016-06-14,74,64,"1.49","0.00","0.00"
"2358",2016-06-15,77,64,"0.00","0.00","0.00"
"2359",2016-06-16,80,63,"0.00","0.00","0.00"
"2360",2016-06-17,86,66,"T","0.00","0.00"
"2361",2016-06-18,89,70,"0.00","0.00","0.00"
"2362",2016-06-19,93,71,"0.20","0.00","0.00"
"2363",2016-06-20,80,65,"0.00","0.00","0.00"
"2364",2016-06-21,83,60,"0.00","0.00","0.00"
"2365",2016-06-22,83,63,"0.47","0.00","0.00"
"2366",2016-06-23,77,58,"0.00","0.00","0.00"
"2367",2016-06-24,82,60,"0.00","0.00","0.00"
"2368",2016-06-25,96,72,"T","0.00","0.00"
"2369",2016-06-26,88,67,"0.00","0.00","0.00"
"2370",2016-06-27,76,64,"0.00","0.00","0.00"
"2371",2016-06-28,77,58,"0.00","0.00","0.00"
"2372",2016-06-29,81,60,"0.00","0.00","0.00"
"2373",2016-06-30,79,61,"0.10","0.00","0.00"
"2374",2016-07-01,75,52,"0.00","0.00","0.00"
"2375",2016-07-02,79,60,"0.00","0.00","0.00"
"2376",2016-07-03,80,62,"0.00","0.00","0.00"
"2377",2016-07-04,80,61,"0.00","0.00","0.00"
"2378",2016-07-05,90,66,"1.21","0.00","0.00"
"2379",2016-07-06,88,66,"0.00","0.00","0.00"
"2380",2016-07-07,85,69,"0.07","0.00","0.00"
"2381",2016-07-08,80,66,"0.00","0.00","0.00"
"2382",2016-07-09,82,63,"0.00","0.00","0.00"
"2383",2016-07-10,82,66,"0.40","0.00","0.00"
"2384",2016-07-11,90,72,"T","0.00","0.00"
"2385",2016-07-12,86,71,"0.08","0.00","0.00"
"2386",2016-07-13,85,70,"T","0.00","0.00"
"2387",2016-07-14,71,62,"0.12","0.00","0.00"
"2388",2016-07-15,79,61,"0.05","0.00","0.00"
"2389",2016-07-16,81,62,"0.20","0.00","0.00"
"2390",2016-07-17,84,66,"0.10","0.00","0.00"
"2391",2016-07-18,88,67,"0.00","0.00","0.00"
"2392",2016-07-19,87,68,"0.00","0.00","0.00"
"2393",2016-07-20,93,72,"0.05","0.00","0.00"
"2394",2016-07-21,95,71,"0.16","0.00","0.00"
"2395",2016-07-22,97,74,"0.00","0.00","0.00"
"2396",2016-07-23,82,71,"2.17","0.00","0.00"
"2397",2016-07-24,85,72,"T","0.00","0.00"
"2398",2016-07-25,87,67,"0.00","0.00","0.00"
"2399",2016-07-26,91,72,"0.00","0.00","0.00"
"2400",2016-07-27,80,68,"0.48","0.00","0.00"
"2401",2016-07-28,77,65,"0.00","0.00","0.00"
"2402",2016-07-29,79,61,"0.00","0.00","0.00"
"2403",2016-07-30,81,67,"T","0.00","0.00"
"2404",2016-07-31,84,67,"0.00","0.00","0.00"
"2405",2016-08-01,85,70,"0.00","0.00","0.00"
"2406",2016-08-02,88,73,"0.00","0.00","0.00"
"2407",2016-08-03,91,74,"0.00","0.00","0.00"
"2408",2016-08-04,85,70,"1.13","0.00","0.00"
"2409",2016-08-05,79,64,"0.00","0.00","0.00"
"2410",2016-08-06,82,62,"0.00","0.00","0.00"
"2411",2016-08-07,82,63,"0.00","0.00","0.00"
"2412",2016-08-08,83,65,"0.00","0.00","0.00"
"2413",2016-08-09,87,69,"0.00","0.00","0.00"
"2414",2016-08-10,91,69,"1.53","0.00","0.00"
"2415",2016-08-11,84,69,"1.11","0.00","0.00"
"2416",2016-08-12,82,68,"0.33","0.00","0.00"
"2417",2016-08-13,81,65,"0.00","0.00","0.00"
"2418",2016-08-14,83,63,"0.00","0.00","0.00"
"2419",2016-08-15,82,64,"0.00","0.00","0.00"
"2420",2016-08-16,86,67,"0.20","0.00","0.00"
"2421",2016-08-17,86,64,"0.00","0.00","0.00"
"2422",2016-08-18,85,68,"T","0.00","0.00"
"2423",2016-08-19,79,65,"0.44","0.00","0.00"
"2424",2016-08-20,68,58,"0.38","0.00","0.00"
"2425",2016-08-21,74,56,"0.00","0.00","0.00"
"2426",2016-08-22,83,59,"0.00","0.00","0.00"
"2427",2016-08-23,84,67,"1.01","0.00","0.00"
"2428",2016-08-24,82,66,"0.07","0.00","0.00"
