Date,MaxTemp.F,MinTemp.F,AvgTemp.F,Prec.In,Snow.In,SnowDepth.In,WindSpd.Avg,WindSpd.Max,CloudCover,Extra
4/3/17,53,47,50,0.12,0,0,8.2,16,10,Fog
4/4/17,63,44,54,0,0,0,9.1,18,7,
4/5/17,56,38,47,0,0,0,8.5,17,8,
4/6/17,56,35,46,0,0,0,10.9,21,1,
4/7/17,60,33,47,0,0,0,7.4,18,4,
4/8/17,73,44,59,0,0,0,12.1,23,6,
4/9/17,72,53,63,0.02,0,0,11.1,24,9,Thunder
4/10/17,53,33,43,0.18,0.5,0,13.8,26,10,Fog
4/11/17,53,32,43,T,T,1,6.4,15,6,Fog
4/12/17,57,40,49,0.16,0,0,8.4,16,8,Fog
4/13/17,55,46,51,0,0,0,10.2,18,10,Fog
4/14/17,66,48,57,0.3,0,0,13.1,23,8,Fog
4/15/17,72,52,62,1,0,0,8.6,18,9,Thunder
4/16/17,66,47,57,0,0,0,13.7,17,3,
4/17/17,59,45,52,0,0,0,6.8,15,5,
4/18/17,66,48,57,0.15,0,0,15.5,32,10,Fog
4/19/17,51,45,48,0.8,0,0,11,26,10,Thunder
4/20/17,52,40,46,0.15,0,0,11.6,21,8,Thunder
4/21/17,63,37,50,0,0,0,5.1,16,2,
4/22/17,69,41,55,0,0,0,5.4,15,1,
4/23/17,70,49,60,0,0,0,6.3,15,5,
4/24/17,72,49,61,0.02,0,0,11.8,33,9,
4/25/17,62,47,55,0.45,0,0,8.1,17,9,Fog
4/26/17,47,36,42,0.38,0,0,12.3,20,10,Fog
4/27/17,36,32,34,0.01,T,0,11.5,20,10,Fog
4/28/17,51,35,43,0,0,0,7.6,17,7,
4/29/17,56,38,47,0,0,0,13.5,24,9,
4/30/17,49,38,44,0.71,0,0,14.8,28,10,Fog
5/1/17,41,35,38,0.26,T,0,13.9,26,10,Fog
5/2/17,62,38,50,0.03,0,0,10.6,25,6,Fog
5/3/17,66,45,56,0,0,0,7.2,18,6,
5/4/17,69,44,57,0,0,0,7.2,20,3,
5/5/17,78,46,62,0,0,0,7,31,2,
5/6/17,69,44,57,0,0,0,7.7,17,2,
5/7/17,67,49,58,0,0,0,8.6,18,5,
5/8/17,70,46,58,0.25,0,0,15.6,25,6,Thunder
5/9/17,71,52,62,0.03,0,0,6.6,17,8,
5/10/17,69,53,61,T,0,0,5,16,7,
5/11/17,67,47,57,0,0,0,10.1,17,1,
5/12/17,77,46,62,0,0,0,3.8,14,4,
5/13/17,80,54,67,0,0,0,6.2,16,2,
5/14/17,84,56,70,0,0,0,11.6,18,3,
