"","Stationnumber","weekday","hour","Rideoutminusin"
"1","30000","Fri",0,-0.285714285714286
"2","30000","Fri",1,1
"3","30000","Fri",2,-1.5
"4","30000","Fri",3,0.5
"5","30000","Fri",5,-0.5
"6","30000","Fri",6,0.375
"7","30000","Fri",7,-0.4375
"8","30000","Fri",8,-0.5
"9","30000","Fri",9,-0.933333333333333
"10","30000","Fri",10,-0.0454545454545455
"11","30000","Fri",11,-0.44
"12","30000","Fri",12,-1.74074074074074
"13","30000","Fri",13,0.655172413793103
"14","30000","Fri",14,0.541666666666667
"15","30000","Fri",15,-0.148148148148148
"16","30000","Fri",16,0.222222222222222
"17","30000","Fri",17,-1.42307692307692
"18","30000","Fri",18,-0.5
"19","30000","Fri",19,-1.85714285714286
"20","30000","Fri",20,-0.0833333333333333
"21","30000","Fri",21,0.769230769230769
"22","30000","Fri",22,1.22222222222222
"23","30000","Fri",23,1.42105263157895
"24","30000","Mon",0,-0.333333333333333
"25","30000","Mon",1,-0.5
"26","30000","Mon",2,0
"27","30000","Mon",3,-1
"28","30000","Mon",5,-1.33333333333333
"29","30000","Mon",6,0.444444444444444
"30","30000","Mon",7,0.235294117647059
"31","30000","Mon",8,-0.0454545454545455
"32","30000","Mon",9,0.266666666666667
"33","30000","Mon",10,0.181818181818182
"34","30000","Mon",11,-0.571428571428571
"35","30000","Mon",12,-1.47619047619048
"36","30000","Mon",13,0.16
"37","30000","Mon",14,1.24
"38","30000","Mon",15,-0.96
"39","30000","Mon",16,-1.16
"40","30000","Mon",17,-0.275862068965517
"41","30000","Mon",18,-0.466666666666667
"42","30000","Mon",19,-0.88
"43","30000","Mon",20,-1.0952380952381
"44","30000","Mon",21,0.375
"45","30000","Mon",22,4.36363636363636
"46","30000","Mon",23,1.55555555555556
"47","30000","Sat",0,1.14285714285714
"48","30000","Sat",1,-1
"49","30000","Sat",2,-1
"50","30000","Sat",6,-1
"51","30000","Sat",7,0.375
"52","30000","Sat",8,-0.153846153846154
"53","30000","Sat",9,-1.36842105263158
"54","30000","Sat",10,-0.0384615384615385
"55","30000","Sat",11,-1.03846153846154
"56","30000","Sat",12,0.142857142857143
"57","30000","Sat",13,-1.76666666666667
"58","30000","Sat",14,1.46666666666667
"59","30000","Sat",15,-0.387096774193548
"60","30000","Sat",16,1.24137931034483
"61","30000","Sat",17,0.1
"62","30000","Sat",18,-1.03448275862069
"63","30000","Sat",19,-1.04166666666667
"64","30000","Sat",20,0.8
"65","30000","Sat",21,-0.392857142857143
"66","30000","Sat",22,1.22727272727273
"67","30000","Sat",23,1.05263157894737
"68","30000","Sun",0,1.18181818181818
"69","30000","Sun",1,0
"70","30000","Sun",2,0
"71","30000","Sun",3,0
"72","30000","Sun",4,-2
"73","30000","Sun",5,0.5
"74","30000","Sun",6,-1.25
"75","30000","Sun",7,-0.333333333333333
"76","30000","Sun",8,-0.785714285714286
"77","30000","Sun",9,-0.958333333333333
"78","30000","Sun",10,0.48
"79","30000","Sun",11,-1.07142857142857
"80","30000","Sun",12,-0.433333333333333
"81","30000","Sun",13,-0.0689655172413793
"82","30000","Sun",14,-0.517241379310345
"83","30000","Sun",15,-1.60714285714286
"84","30000","Sun",16,-0.333333333333333
"85","30000","Sun",17,0.37037037037037
"86","30000","Sun",18,-0.206896551724138
"87","30000","Sun",19,-0.25
"88","30000","Sun",20,-0.458333333333333
"89","30000","Sun",21,0.863636363636364
"90","30000","Sun",22,0.333333333333333
"91","30000","Sun",23,-0.428571428571429
"92","30000","Thu",0,0.5
"93","30000","Thu",1,-0.333333333333333
"94","30000","Thu",2,-2
"95","30000","Thu",3,-1
"96","30000","Thu",5,0
"97","30000","Thu",6,-0.2
"98","30000","Thu",7,-0.357142857142857
"99","30000","Thu",8,-0.333333333333333
"100","30000","Thu",9,-0.142857142857143
"101","30000","Thu",10,-0.583333333333333
"102","30000","Thu",11,-0.15
"103","30000","Thu",12,-0.291666666666667
"104","30000","Thu",13,0.68
"105","30000","Thu",14,0.636363636363636
"106","30000","Thu",15,-0.478260869565217
"107","30000","Thu",16,-1.33333333333333
"108","30000","Thu",17,-2.10344827586207
"109","30000","Thu",18,-0.173913043478261
"110","30000","Thu",19,-1.54545454545455
"111","30000","Thu",20,0.05
"112","30000","Thu",21,1
"113","30000","Thu",22,0.333333333333333
"114","30000","Thu",23,0.909090909090909
"115","30000","Tue",0,1
"116","30000","Tue",2,-1
"117","30000","Tue",5,2
"118","30000","Tue",6,-0.8
"119","30000","Tue",7,-0.2
"120","30000","Tue",8,0.260869565217391
"121","30000","Tue",9,-0.1875
"122","30000","Tue",10,-0.416666666666667
"123","30000","Tue",11,-1.05263157894737
"124","30000","Tue",12,0.0416666666666667
"125","30000","Tue",13,0.521739130434783
"126","30000","Tue",14,0.347826086956522
"127","30000","Tue",15,0.16
"128","30000","Tue",16,-0.44
"129","30000","Tue",17,-1
"130","30000","Tue",18,-1.33333333333333
"131","30000","Tue",19,-1.18181818181818
"132","30000","Tue",20,-0.111111111111111
"133","30000","Tue",21,0.458333333333333
"134","30000","Tue",22,1.21428571428571
